"","religionno","religionyes","degreeyes","countryNorway","countrySweden","countryUSA","gendermale","age_sc","y"
"1",0,1,0,0,0,1,1,-0.060858025528403,1
"2",0,1,0,0,0,1,0,-0.294686683413684,2
"3",0,1,0,0,0,1,0,-0.528515341298965,1
"4",0,1,1,0,0,1,0,-1.17154415048349,3
"5",0,1,1,0,0,1,1,-0.353143847885005,1
"6",0,1,0,0,0,1,0,2.04359989543913,2
"7",0,1,0,0,0,1,0,0.172970632356878,3
"8",0,1,0,0,0,1,1,-0.762343999184247,1
"9",0,1,0,0,0,1,0,1.69285690861121,1
"10",0,1,0,0,0,1,1,-0.879258328126887,1
"11",0,1,1,0,0,1,0,-0.762343999184247,1
"12",0,1,1,0,0,1,0,1.69285690861121,2
"13",0,1,0,0,0,1,1,0.172970632356878,1
"14",0,1,0,0,0,1,1,-0.177772354471044,3
"15",1,0,0,0,0,1,0,-0.996172657069528,1
"16",0,1,0,0,0,1,0,-0.528515341298965,3
"17",0,1,0,0,0,1,1,0.231427796828199,3
"18",0,1,0,0,0,1,0,-0.411601012356325,1
"19",0,1,0,0,0,1,0,1.98514273096781,2
"20",0,1,0,0,0,1,1,0.815999441541402,2
"21",0,1,1,0,0,1,0,0.289884961299519,3
"22",0,1,0,0,0,1,1,1.34211392178328,3
"23",0,1,0,0,0,1,0,-0.586972505770286,1
"24",0,1,0,0,0,1,1,1.80977123755385,1
"25",0,1,0,0,0,1,0,0.991370934955363,1
"26",0,1,0,0,0,1,0,2.04359989543913,1
"27",0,1,0,0,0,1,1,-1.58074430178273,1
"28",0,1,0,0,0,1,0,0.289884961299519,1
"29",0,1,0,0,0,1,1,-0.411601012356325,3
"30",0,1,0,0,0,1,0,0.172970632356878,2
"31",0,1,0,0,0,1,0,-0.470058176827645,1
"32",0,1,1,0,0,1,0,-0.00240086105708268,3
"33",0,1,0,0,0,1,1,0.114513467885558,1
"34",0,1,0,0,0,1,0,-0.762343999184247,1
"35",0,1,1,0,0,1,1,0.289884961299519,3
"36",0,1,0,0,0,1,1,-0.177772354471044,1
"37",1,0,1,0,0,1,1,-0.177772354471044,1
"38",0,1,0,0,0,1,1,1.16674242836932,3
"39",0,1,0,0,0,1,0,1.28365675731196,2
"40",1,0,0,0,0,1,1,1.16674242836932,3
"41",0,1,0,0,0,1,0,-0.528515341298965,3
"42",0,1,1,0,0,1,1,2.16051422438177,2
"43",1,0,0,0,0,1,1,0.114513467885558,1
"44",0,1,0,0,0,1,1,-0.00240086105708268,1
"45",0,1,0,0,0,1,0,-0.470058176827645,3
"46",0,1,0,0,0,1,1,1.92668556649649,2
"47",1,0,0,0,0,1,1,-1.40537280836877,3
"48",0,1,1,0,0,1,1,-0.645429670241606,3
"49",0,1,1,0,0,1,0,1.22519959284064,3
"50",1,0,0,0,0,1,0,-0.119315189999723,1
"51",0,1,0,0,0,1,1,1.80977123755385,3
"52",0,1,0,0,0,1,0,1.80977123755385,1
"53",0,1,0,0,0,1,1,0.815999441541402,2
"54",0,1,0,0,0,1,0,-1.17154415048349,1
"55",0,1,0,0,0,1,1,-0.294686683413684,2
"56",0,1,0,0,0,1,1,-0.119315189999723,2
"57",0,1,0,0,0,1,0,1.4005710862546,3
"58",1,0,1,0,0,1,1,0.172970632356878,3
"59",0,1,1,0,0,1,0,1.86822840202517,3
"60",0,1,1,0,0,1,1,1.16674242836932,3
"61",0,1,1,0,0,1,1,1.98514273096781,3
"62",0,1,0,0,0,1,0,2.10205705991045,3
"63",1,0,0,0,0,1,0,-0.762343999184247,1
"64",0,1,0,0,0,1,1,-0.879258328126887,1
"65",0,1,1,0,0,1,0,0.289884961299519,2
"66",0,1,0,0,0,1,0,-0.353143847885005,1
"67",0,1,0,0,0,1,0,-0.411601012356325,1
"68",0,1,1,0,0,1,1,-1.28845847942613,2
"69",0,1,1,0,0,1,0,2.10205705991045,3
"70",0,1,0,0,0,1,1,-0.060858025528403,1
"71",1,0,1,0,0,1,1,0.757542277070081,3
"72",0,1,1,0,0,1,0,-0.236229518942364,2
"73",0,1,1,0,0,1,0,-0.586972505770286,2
"74",0,1,1,0,0,1,0,0.58217078365612,1
"75",0,1,1,0,0,1,0,-0.996172657069528,3
"76",0,1,1,0,0,1,0,-1.11308698601217,3
"77",0,1,1,0,0,1,1,-0.294686683413684,2
"78",0,1,0,0,0,1,1,1.108285263898,3
"79",1,0,0,0,0,1,1,-1.52228713731141,1
"80",0,1,1,0,0,1,0,0.0560563034142376,2
